# IPv6 WireGuard Manager 客户端CSV模板
# 版本: 1.0.0
# 使用方法: 填写客户端信息后，使用批量导入功能导入

# 客户端名称,IPv4地址,IPv6地址,描述,邮箱,电话,部门,备注
client1,10.0.0.2,2001:db8::2,测试客户端1,client1@example.com,1234567890,IT部门,测试用客户端
client2,10.0.0.3,2001:db8::3,测试客户端2,client2@example.com,1234567891,IT部门,测试用客户端
client3,10.0.0.4,2001:db8::4,测试客户端3,client3@example.com,1234567892,IT部门,测试用客户端
client4,10.0.0.5,2001:db8::5,测试客户端4,client4@example.com,1234567893,IT部门,测试用客户端
client5,10.0.0.6,2001:db8::6,测试客户端5,client5@example.com,1234567894,IT部门,测试用客户端

# 说明:
# 1. 第一行是标题行，不要修改
# 2. 客户端名称: 唯一标识符，只能包含字母、数字、下划线和连字符
# 3. IPv4地址: 客户端在VPN网络中的IPv4地址
# 4. IPv6地址: 客户端在VPN网络中的IPv6地址
# 5. 描述: 客户端的描述信息
# 6. 邮箱: 客户端的联系邮箱
# 7. 电话: 客户端的联系电话
# 8. 部门: 客户端所属部门
# 9. 备注: 其他备注信息
